m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Eva Klemenčič	0.001473	0.000476	0.000000	0.160083	0.000000	0	0	5
Jure Dimec	0.011782	0.002476	0.285714	0.218123	0.006112	0	0	5
Bojan Novak	0.007364	0.001126	1.000000	0.188221	0.000000	1	1	5
Alojz Urbajs	0.002946	0.001537	1.000000	0.004602	0.000000	15	6	5
Branko Zebec	0.001473	0.000884	0.000000	0.004091	0.000000	15	6	0
Igor Kononenko	0.036819	0.006008	0.163333	0.221037	0.029064	3	0	7
Slavko Mavrič	0.005891	0.001212	0.666667	0.169776	0.000159	4	0	7
Jana Bradač	0.002946	0.001777	1.000000	0.002946	0.000000	18	9	5
Tatjana Zrimec	0.008837	0.001555	0.400000	0.205014	0.003038	3	0	0
Tanja Urbančič	0.022091	0.003629	0.295238	0.214170	0.008747	0	0	7
Davor Bonačić	0.008837	0.001426	0.600000	0.174890	0.000358	2	1	5
Elizabeta Kmecl	0.002946	0.001777	1.000000	0.002946	0.000000	18	9	5
Borut Robič	0.019146	0.003581	0.230769	0.181311	0.004845	4	0	3
Petar Brajak	0.004418	0.000804	1.000000	0.177422	0.000000	8	0	0
Janez Benkovič	0.007364	0.001759	0.300000	0.190277	0.007508	6	0	7
Bano Diallo	0.000000	0.000267	0.000000	0.000000	0.000000	43	34	0
Tomaž Erjavec	0.026510	0.004119	0.261438	0.212519	0.016564	8	0	5
Bogdan Filipič	0.033873	0.005593	0.142292	0.238052	0.034757	0	0	7
Ankica Babić	0.004418	0.001053	0.000000	0.161490	0.001097	8	0	5
Stanko Blatnik	0.002946	0.000756	0.000000	0.160083	0.000618	4	0	7
Andrej Križnik	0.001473	0.001777	0.000000	0.001473	0.000000	22	13	7
Ljubo Pipan	0.010309	0.001881	0.380952	0.171358	0.008545	1	1	1
Franc Novak	0.030928	0.005399	0.142857	0.217121	0.026972	4	0	1
Konrad Steblovnik	0.000000	0.000267	0.000000	0.000000	0.000000	44	35	7
Marko Ahčan	0.004418	0.001270	0.666667	0.151508	0.000088	6	0	5
Bojan Boštjančič	0.000000	0.000267	0.000000	0.000000	0.000000	45	36	0
Bojan Cestnik	0.026510	0.004082	0.366013	0.233023	0.013601	0	0	7
Jože Rugelj	0.011782	0.002981	0.178571	0.186313	0.006440	13	1	1
Aleš Leonardis	0.026510	0.005838	0.130719	0.188973	0.015782	3	0	7
Nikolaj Zimic	0.016200	0.002877	0.509091	0.130736	0.002603	11	2	1
József Györkös	0.033873	0.004431	0.339921	0.221481	0.012400	2	1	5
Zoran Stančič	0.000000	0.000267	0.000000	0.000000	0.000000	46	37	5
Vojko Artač	0.000000	0.000267	0.000000	0.000000	0.000000	47	38	5
Jasna Maver	0.007364	0.001635	0.500000	0.172790	0.000420	3	0	7
Marko Bonač	0.001473	0.000534	0.000000	0.169601	0.000000	4	0	1
Borut Žalik	0.041237	0.007880	0.113757	0.199213	0.036225	5	1	1
Boris Hreščak	0.000000	0.000267	0.000000	0.000000	0.000000	48	39	1
Mira Trebar	0.010309	0.002212	0.333333	0.159389	0.000677	3	2	1
Milan Ojsteršek	0.038292	0.005391	0.224615	0.203251	0.017072	1	1	1
Roman Trobec	0.023564	0.004835	0.133333	0.202133	0.016468	4	0	1
Niko Schlamberger	0.000000	0.000267	0.000000	0.000000	0.000000	49	40	5
Robert Leskovar	0.016200	0.003731	0.290909	0.186104	0.006175	9	0	5
Alen Varšek	0.004418	0.000871	1.000000	0.193391	0.000000	0	0	7
Miroslav Kolarič	0.007364	0.001132	0.900000	0.176100	0.000027	2	1	5
Branko Namestnik	0.000000	0.000267	0.000000	0.000000	0.000000	50	41	5
Primož Bradač	0.002946	0.001777	1.000000	0.002946	0.000000	18	9	5
Tine Petkovšek	0.002946	0.001039	1.000000	0.005155	0.000000	14	5	1
Ivan Rozman	0.057437	0.007485	0.205128	0.229150	0.033746	2	1	5
Maksimiljan Gerkeš	0.016200	0.002290	0.527273	0.185895	0.001833	2	1	5
Marijan Miletić	0.002946	0.000938	1.000000	0.148984	0.000000	4	0	5
Matjaž Debevc	0.010309	0.002080	0.190476	0.164378	0.003514	1	1	0
Kornelija Zgonc	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	7
Branko Korošec	0.001473	0.001777	0.000000	0.001473	0.000000	23	14	1
Matjaž Cigrovski	0.000000	0.000267	0.000000	0.000000	0.000000	51	42	5
Matjaž Gams	0.061856	0.010441	0.102207	0.251438	0.054686	0	0	7
Kordija Stiglic	0.001473	0.000439	0.000000	0.150955	0.000000	2	1	5
Krista Rizman Žalik	0.010309	0.001618	0.476190	0.191378	0.005255	2	1	3
Bogdan Dugonik	0.008837	0.001801	0.400000	0.167033	0.004176	1	1	0
Jure Ferbežar	0.001473	0.001777	0.000000	0.001473	0.000000	24	15	3
Vido Vouk	0.001473	0.001777	0.000000	0.001473	0.000000	24	15	3
Nada Lavrač	0.045655	0.007236	0.210753	0.238224	0.028238	0	0	7
Damjan Bojadžiev	0.005891	0.001083	0.500000	0.197077	0.000210	0	0	7
Tomaž Dogša	0.011782	0.001977	0.357143	0.178379	0.002269	2	1	3
Miroslav Petrič	0.000000	0.000267	0.000000	0.000000	0.000000	52	43	3
Iztok Tvrdy	0.000000	0.000267	0.000000	0.000000	0.000000	53	44	1
Tatjana Ogrinc	0.000000	0.000267	0.000000	0.000000	0.000000	54	45	3
Janez Renko	0.000000	0.000267	0.000000	0.000000	0.000000	55	46	3
Dušan Kodek	0.007364	0.001822	0.100000	0.201887	0.005978	4	2	1
France Mihelič	0.027982	0.004285	0.304094	0.195447	0.007542	8	0	7
Franc Solina	0.032401	0.005760	0.108225	0.205779	0.023753	3	0	7
Marko Ambrož	0.000000	0.000267	0.000000	0.000000	0.000000	56	47	1
Matjaž Colnarič	0.019146	0.002715	0.448718	0.179443	0.001852	2	1	1
Igor Ozimek	0.022091	0.004716	0.161905	0.223879	0.023826	4	0	1
Jurij Šilc	0.029455	0.004896	0.210526	0.206550	0.013951	4	0	1
Julija Lapuh Bele	0.002946	0.000836	0.000000	0.158322	0.000750	13	1	5
Igor Korelič	0.002946	0.001140	0.000000	0.184444	0.002055	9	0	5
Slavko Kastelic	0.000000	0.000267	0.000000	0.000000	0.000000	57	48	5
Iztok Koren	0.002946	0.000969	1.000000	0.145961	0.000000	6	0	7
Matjaž Likar	0.002946	0.000757	1.000000	0.160862	0.000000	5	1	7
Nenad Međeral	0.000000	0.000267	0.000000	0.000000	0.000000	58	49	7
Aram Karalič	0.011782	0.001930	0.571429	0.210491	0.000740	0	0	7
Vojko Ambrožič	0.002946	0.001537	1.000000	0.004602	0.000000	15	6	5
Matevž Kovačič	0.010309	0.001846	0.380952	0.194872	0.001308	3	0	7
Slavko Može	0.000000	0.000267	0.000000	0.000000	0.000000	59	50	0
Aleš Jelovšek	0.001473	0.000534	0.000000	0.169601	0.000000	4	0	0
Bojana Lunar-Peček	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	7
Ivo Ipšić	0.007364	0.001244	0.900000	0.164296	0.000001	8	0	7
Polonca Blaznik	0.007364	0.001413	0.600000	0.175261	0.000205	4	0	1
Gabrijela Dreo	0.002946	0.000661	1.000000	0.156155	0.000000	1	1	1
Andreja Zaveršek	0.005891	0.001070	0.666667	0.173515	0.000205	2	1	0
Aleksandra Krumpak	0.005891	0.001644	0.666667	0.151577	0.000821	6	0	7
Anto Jurković	0.000000	0.000267	0.000000	0.000000	0.000000	60	51	0
Barbara Koroušić-Seljak	0.007364	0.001382	0.600000	0.171447	0.000140	4	0	1
Peter Krošelj	0.000000	0.000267	0.000000	0.000000	0.000000	61	52	3
Božo Urh	0.002946	0.000707	1.000000	0.188973	0.000000	0	0	5
Dejan Leskovšek	0.000000	0.000267	0.000000	0.000000	0.000000	62	53	5
Marjan Heričko	0.053019	0.007422	0.195238	0.216694	0.028309	2	1	3
Heri Špička	0.000000	0.000267	0.000000	0.000000	0.000000	63	54	1
Denis Trček	0.011782	0.003505	0.071429	0.192156	0.021373	10	3	5
Robert Vilhar	0.000000	0.000267	0.000000	0.000000	0.000000	64	55	0
Aleš Šuntar	0.002946	0.002307	0.000000	0.003314	0.000009	17	8	5
Tomo Rugelj	0.001473	0.001777	0.000000	0.001473	0.000000	25	16	5
Sašo Džeroski	0.042710	0.006876	0.179803	0.216270	0.018378	0	0	7
Jelena Ficzko	0.013255	0.002365	0.472222	0.153975	0.016771	11	2	1
Aleš Jaklič	0.014728	0.003468	0.244444	0.173333	0.006114	3	0	7
Marjan Mernik	0.041237	0.005862	0.219577	0.225404	0.038930	1	1	1
Branislav Šmitek	0.004418	0.001331	0.000000	0.147129	0.000021	9	0	5
Damijana Keržič	0.000000	0.000267	0.000000	0.000000	0.000000	65	56	5
Romana Vajde Horvat	0.023564	0.003264	0.450000	0.210491	0.005576	2	1	3
Niko Čižek	0.008837	0.001520	0.533333	0.178668	0.000546	1	1	1
Miran Kokol	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	7
Boris Ahlin	0.000000	0.000267	0.000000	0.000000	0.000000	66	57	5
Filip Samo Balan	0.004418	0.001035	1.000000	0.144117	0.000000	1	1	1
Viljem Križman	0.016200	0.002606	0.472727	0.214309	0.001880	0	0	7
Tone Ljubič	0.005891	0.001408	1.000000	0.185166	0.000000	9	0	5
Borut Hribovšek	0.001473	0.000478	0.000000	0.184959	0.000000	0	0	7
Borut Korenjak	0.004418	0.000917	0.666667	0.170827	0.000027	0	0	3
Aleš Dobnikar	0.007364	0.001795	0.100000	0.195102	0.004667	0	0	5
Simon Dobrišek	0.022091	0.003360	0.409524	0.193731	0.004962	8	0	7
Bojan Slemnik	0.000000	0.000267	0.000000	0.000000	0.000000	67	58	3
Zoran Svetec	0.000000	0.000267	0.000000	0.000000	0.000000	68	59	5
Mitja Debeljak	0.002946	0.000612	1.000000	0.164296	0.000000	1	1	5
Igor Benko	0.000000	0.000267	0.000000	0.000000	0.000000	69	60	0
Dejan Dinevski	0.016200	0.002476	0.381818	0.210894	0.021702	1	1	5
Drago Torkar	0.011782	0.002061	0.285714	0.189623	0.005379	4	0	5
Matija Drobnič	0.005891	0.001144	0.666667	0.186839	0.000230	0	0	7
Anton Biasizzo	0.016200	0.003059	0.254545	0.189298	0.002345	4	0	1
Tomaž Kolmanič	0.002946	0.000641	1.000000	0.151161	0.000000	2	1	7
Jerneja Žganec Gros	0.027982	0.004112	0.321637	0.207067	0.011289	8	0	7
Matjaž Ivačič	0.000000	0.000267	0.000000	0.000000	0.000000	70	61	5
Natalija Trstenjak	0.005891	0.001152	0.500000	0.174798	0.000977	5	1	3
Danica Dolničar	0.011782	0.003406	0.214286	0.151231	0.006982	6	0	1
Aleš Musar	0.004418	0.001320	1.000000	0.126343	0.000000	6	0	7
Miro Jeraj	0.007364	0.001764	0.700000	0.185374	0.001014	9	0	5
Polde Podlogar	0.002946	0.000932	0.000000	0.147194	0.000006	9	0	1
Mladen Stanojević	0.000000	0.000267	0.000000	0.000000	0.000000	71	62	0
Bogomir Romih	0.001473	0.001777	0.000000	0.001473	0.000000	22	13	7
Iztok Bitenc	0.007364	0.001700	0.700000	0.185270	0.001005	9	0	5
Borut Werber	0.001473	0.000577	0.000000	0.146672	0.000000	9	0	5
Pavle Popović	0.000000	0.000267	0.000000	0.000000	0.000000	72	63	7
Urban Jan	0.000000	0.000267	0.000000	0.000000	0.000000	73	64	0
Uroš Petric	0.000000	0.000267	0.000000	0.000000	0.000000	74	65	1
Rudi Panjtar	0.001473	0.000998	0.000000	0.002946	0.000000	16	7	1
Tomaž Kern	0.008837	0.002244	0.466667	0.185478	0.003069	9	0	5
Domen Verber	0.011782	0.002063	0.285714	0.177995	0.002946	2	1	5
Boštjan Vovk	0.000000	0.000267	0.000000	0.000000	0.000000	75	66	7
Blaž Zupan	0.036819	0.005983	0.183333	0.241000	0.038915	0	0	7
Dunja Mladenić	0.035346	0.006058	0.152174	0.209957	0.014851	0	0	7
Karmen Pepelnjak	0.005891	0.001044	1.000000	0.164215	0.000000	8	0	7
Maja Gerkšič	0.001473	0.001777	0.000000	0.001473	0.000000	27	17	7
Irena Nančovska Šerbec	0.011782	0.002548	0.178571	0.218844	0.011856	13	1	7
Matjaž Mencej	0.001473	0.000641	0.000000	0.150201	0.000000	6	0	3
Bojan Stanonik	0.001473	0.000585	0.000000	0.146607	0.000000	9	0	5
Boštjan Slivnik	0.010309	0.002129	0.523810	0.180717	0.001128	4	0	3
Jure Artiček	0.000000	0.000267	0.000000	0.000000	0.000000	76	67	7
Primož Kranjec	0.001473	0.000537	0.000000	0.166696	0.000000	13	1	0
Stanislav Gruden	0.011782	0.002000	0.750000	0.177327	0.002055	8	0	8
Francelj Trdič	0.002946	0.002564	0.000000	0.002946	0.000004	19	10	7
Luka Logar	0.000000	0.000267	0.000000	0.000000	0.000000	77	68	0
Miha Mraz	0.014728	0.002573	0.600000	0.130684	0.001569	11	2	1
Primož Podgornik	0.004418	0.000991	0.666667	0.167541	0.000734	3	2	7
Marko Privošnik	0.004418	0.001490	1.000000	0.150611	0.000000	6	0	7
Igor Rožanc	0.002946	0.000809	1.000000	0.173788	0.000000	7	1	3
Tomaž Klobučar	0.007364	0.002257	0.300000	0.151786	0.008169	10	3	1
Matej Caf	0.001473	0.001777	0.000000	0.001473	0.000000	26	18	3
Marjan Štrakl	0.002946	0.000780	1.000000	0.133210	0.000000	1	1	1
Aleksander Kvas	0.005891	0.001050	1.000000	0.164869	0.000000	1	1	1
Andrej Miksić	0.000000	0.000267	0.000000	0.000000	0.000000	78	69	1
Vesna Prašnikar	0.000000	0.000267	0.000000	0.000000	0.000000	79	70	7
Ivan Lah	0.005891	0.000942	1.000000	0.174429	0.000000	2	1	5
Darjan Petrič	0.000000	0.000267	0.000000	0.000000	0.000000	80	71	5
Gordana Budimir	0.000000	0.000267	0.000000	0.000000	0.000000	81	72	5
Alenka Koželj Mernik	0.000000	0.000267	0.000000	0.000000	0.000000	82	73	5
Tvrtko Šercar	0.007364	0.003631	0.200000	0.007364	0.000035	15	6	5
Milan Kozole	0.000000	0.000267	0.000000	0.000000	0.000000	83	74	1
Mojca Ciglarič	0.014728	0.002696	0.355556	0.191157	0.009914	3	2	0
Mojca Parkelj	0.001473	0.001777	0.000000	0.001473	0.000000	27	17	7
Mina Žele	0.000000	0.000267	0.000000	0.000000	0.000000	84	75	1
Uroš Pompe	0.004418	0.000928	0.666667	0.168823	0.000004	3	0	7
Jure Skvarč	0.001473	0.001384	0.000000	0.001964	0.000000	19	10	7
Matjaž Horvat	0.004418	0.001192	0.666667	0.140865	0.000002	5	1	0
Alenka Žužek	0.007364	0.001496	0.500000	0.186313	0.000957	4	0	1
Stanislav Mihelčič	0.000000	0.000267	0.000000	0.000000	0.000000	85	76	5
Janez Hafner	0.000000	0.000267	0.000000	0.000000	0.000000	86	77	1
Zoran Bistrički	0.001473	0.001777	0.000000	0.001473	0.000000	28	19	3
Brane Brodnik	0.000000	0.000267	0.000000	0.000000	0.000000	87	78	1
Andrej Kores	0.001473	0.001777	0.000000	0.001473	0.000000	28	19	1
Marko Šinkovc	0.004418	0.001197	0.666667	0.147260	0.000004	9	0	5
Jože Senegačnik	0.000000	0.000267	0.000000	0.000000	0.000000	88	79	1
Branko Šter	0.013255	0.002595	0.305556	0.187900	0.004936	3	2	7
Hubert Fröhlich	0.000000	0.000267	0.000000	0.000000	0.000000	89	80	5
Borut Žnidar	0.002946	0.000694	1.000000	0.166780	0.000000	0	0	1
Franc Bračun	0.005891	0.001700	0.333333	0.154985	0.002366	10	3	1
Boris Antolovič	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	1
Matjaž Kukar	0.020619	0.003389	0.208791	0.227418	0.024295	3	0	7
Darko Lestan	0.000000	0.000267	0.000000	0.000000	0.000000	90	81	5
Matjaž Urank	0.000000	0.000267	0.000000	0.000000	0.000000	91	82	5
Roman Gumzej	0.002946	0.000663	1.000000	0.145511	0.000000	2	1	5
Tomaž Poštuvan	0.000000	0.000267	0.000000	0.000000	0.000000	92	83	3
Anka Rogina	0.002946	0.001537	1.000000	0.004602	0.000000	15	6	5
Darko Zupanič	0.013255	0.002257	0.305556	0.201395	0.002314	0	0	7
Črtomir Oblonšek	0.004418	0.001095	0.666667	0.160940	0.000484	5	1	3
Istok Colja	0.000000	0.000267	0.000000	0.000000	0.000000	93	84	3
Robert Rozman	0.004418	0.001114	0.333333	0.166949	0.000232	4	2	1
Andrej Orel	0.002946	0.000671	1.000000	0.182612	0.000000	0	0	0
Robert Špendl	0.002946	0.000707	1.000000	0.188973	0.000000	0	0	7
Primož Potočnik	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	7
Boris Benko	0.008837	0.001410	0.600000	0.182410	0.000772	1	1	5
Irena Lipar	0.000000	0.000267	0.000000	0.000000	0.000000	94	85	7
Aleš Klemenčič	0.001473	0.000542	0.000000	0.148783	0.000000	3	0	2
Anka Dolinar	0.000000	0.000267	0.000000	0.000000	0.000000	95	86	5
Irena Sajovic	0.002946	0.001063	1.000000	0.124396	0.000000	6	0	0
Anton Pozne	0.005891	0.001218	0.333333	0.166865	0.001386	8	0	7
Stanko Koželj	0.000000	0.000267	0.000000	0.000000	0.000000	96	87	5
Andrej Duh	0.002946	0.000780	1.000000	0.133210	0.000000	1	1	1
Rok Rupnik	0.014728	0.002253	0.466667	0.200784	0.002156	7	1	5
Marko Robnik Šikonja	0.008837	0.001648	0.533333	0.180520	0.000206	3	0	7
Špela Hleb Babič	0.007364	0.001108	0.700000	0.174062	0.000035	1	1	0
Nikolaj Korbar	0.008837	0.001377	0.866667	0.177327	0.000008	1	1	3
Urban Bergant	0.002946	0.000723	1.000000	0.110187	0.000000	11	2	0
Tomaž Bartol	0.002946	0.000856	1.000000	0.140805	0.000000	5	1	5
Mojca Sabolič Mijovič	0.001473	0.000473	0.000000	0.177613	0.000000	0	0	3
Martin Puhar	0.002946	0.002307	0.000000	0.003314	0.000009	17	8	5
Robert Verlič	0.002946	0.000791	1.000000	0.178764	0.000000	4	0	1
Andrej Gogala	0.000000	0.000267	0.000000	0.000000	0.000000	97	88	5
Mateja Podlogar	0.005891	0.001592	0.666667	0.145001	0.000582	10	3	5
Georg Pollak	0.000000	0.000267	0.000000	0.000000	0.000000	98	89	1
Čedo Malič	0.000000	0.000267	0.000000	0.000000	0.000000	99	90	7
Bojan Kverh	0.007364	0.001547	0.500000	0.173515	0.000236	3	0	7
Davorka Šel	0.002946	0.001250	0.000000	0.152696	0.002055	0	0	7
Tomaž Šef	0.019146	0.003158	0.217949	0.218411	0.013697	0	0	7
Jana Grohar	0.000000	0.000267	0.000000	0.000000	0.000000	100	91	7
David Podgorelec	0.011782	0.002253	0.500000	0.161332	0.000338	5	1	1
Aleš Časar	0.004418	0.001064	1.000000	0.133263	0.000000	1	1	1
Matija Marolt	0.007364	0.002686	0.300000	0.150748	0.004105	6	0	3
Janez Bostič	0.000000	0.000267	0.000000	0.000000	0.000000	101	92	1
Rok Prešeren	0.000000	0.000267	0.000000	0.000000	0.000000	102	93	0
Dorian Šuc	0.005891	0.001256	0.333333	0.184753	0.001433	3	0	7
Primož Skočir	0.001473	0.000998	0.000000	0.002946	0.000000	16	7	0
Tanasko Tasić	0.000000	0.000267	0.000000	0.000000	0.000000	103	94	5
Simon Križaj	0.000000	0.000267	0.000000	0.000000	0.000000	104	95	3
Bojan Oštir	0.002946	0.001537	1.000000	0.004602	0.000000	15	6	5
Igor Zaverski	0.001473	0.000477	0.000000	0.142136	0.000000	2	1	5
Uroš Lotrič	0.005891	0.001520	0.500000	0.152767	0.002055	3	2	7
Janez Brest	0.025037	0.003529	0.397059	0.186523	0.004437	1	1	1
Alenka Kavčič	0.008837	0.002760	0.333333	0.154262	0.000915	6	0	3
Srečko Fridl	0.000000	0.000267	0.000000	0.000000	0.000000	105	96	0
Marko Bajec	0.022091	0.003177	0.438095	0.207456	0.004628	7	1	5
Samo Uršej	0.000000	0.000267	0.000000	0.000000	0.000000	106	97	1
Valdi Brajković	0.000000	0.000267	0.000000	0.000000	0.000000	107	98	0
Franc Močilar	0.001473	0.001777	0.000000	0.001473	0.000000	29	20	1
Arijan Šiška	0.002946	0.000824	0.000000	0.139794	0.000047	8	0	3
Franc Škedelj	0.001473	0.000751	0.000000	0.145961	0.000000	9	0	0
Gregor Molan	0.000000	0.000267	0.000000	0.000000	0.000000	108	99	7
Simon Kolmanič	0.007364	0.001619	0.500000	0.161097	0.000830	5	1	3
Maja Ferle	0.001473	0.000509	0.000000	0.173697	0.000000	7	1	1
Radovan Sernec	0.004418	0.002581	0.333333	0.004713	0.000013	16	7	0
Ljupčo Todorovski	0.033873	0.005655	0.166008	0.207586	0.010685	0	0	0
Vili Podgorelec	0.023564	0.003099	0.408333	0.184444	0.001971	1	1	0
Janez Demšar	0.019146	0.003126	0.333333	0.202133	0.003003	0	0	7
Ivan Gabrijel	0.002946	0.000750	1.000000	0.152555	0.000000	3	2	1
Bor Prihavec	0.005891	0.001170	0.666667	0.182511	0.000062	3	0	0
Damjan Demšar	0.008837	0.001473	0.800000	0.203002	0.000050	0	0	7
Andreja Pucihar	0.005891	0.001592	0.666667	0.145001	0.000582	10	3	5
Uroš Kač	0.005891	0.001130	0.666667	0.176100	0.000031	4	0	1
Iztok Lapanja	0.010309	0.001932	0.666667	0.130530	0.001264	11	2	1
Gregor Lenart	0.007364	0.001641	0.400000	0.170212	0.005138	10	3	5
Arso Savanović	0.001473	0.001777	0.000000	0.001473	0.000000	29	20	0
Milan Zorman	0.026510	0.003496	0.411765	0.194872	0.002136	1	1	7
Robert Meolic	0.005891	0.001336	0.833333	0.144180	0.000111	1	1	1
Aleš Lavrič	0.000000	0.000267	0.000000	0.000000	0.000000	109	100	5
Janja Jakončič-Faganel	0.004418	0.000801	1.000000	0.177327	0.000000	1	1	0
Aleš Živkovič	0.023564	0.003238	0.458333	0.208633	0.003721	2	1	5
Boštjan Marušič	0.004418	0.002581	0.333333	0.004713	0.000013	16	7	2
Tomaž Degen	0.005891	0.001243	1.000000	0.150337	0.000000	3	2	1
Tomaž Dobravec	0.002946	0.000798	0.000000	0.153975	0.000754	4	2	3
Danijel Skočaj	0.014728	0.002731	0.355556	0.193053	0.004433	3	0	7
Aleš Smrdel	0.002946	0.001172	1.000000	0.138507	0.000000	6	0	3
Andrej Štrancar	0.005891	0.001448	0.333333	0.166445	0.001171	4	2	1
Gregor Papa	0.027982	0.004478	0.175439	0.216553	0.025282	4	0	1
Simon Vavpotič	0.002946	0.000774	1.000000	0.152415	0.000000	3	2	7
Roman Starin	0.000000	0.000267	0.000000	0.000000	0.000000	110	101	7
Matjaž B. Jurič	0.036819	0.005379	0.266667	0.211298	0.013444	2	1	5
Tomaž Domajnko	0.019146	0.002592	0.512821	0.214865	0.012145	2	1	5
Mitja Lenič	0.032401	0.004800	0.307359	0.195102	0.008994	1	1	1
Roman Zidarič	0.000000	0.000267	0.000000	0.000000	0.000000	111	102	2
Neja Zupan	0.002946	0.000887	1.000000	0.147063	0.000000	9	0	5
Janez Jamšek	0.000000	0.000267	0.000000	0.000000	0.000000	112	103	0
Katarina Horvat	0.001473	0.001247	0.000000	0.002209	0.000000	17	8	5
Damjan Strnad	0.004418	0.001007	0.666667	0.143306	0.000006	5	1	3
Robert Krušec	0.013255	0.001944	0.638889	0.179346	0.000388	1	1	1
Uroš Novak	0.010309	0.001638	0.571429	0.178861	0.000801	1	1	1
Bruno Grohar	0.002946	0.000707	1.000000	0.188973	0.000000	0	0	1
Boštjan Brumen	0.029455	0.003824	0.378947	0.191711	0.003348	2	1	5
Vlado Horvat	0.000000	0.000267	0.000000	0.000000	0.000000	113	104	1
Marko Vraničar	0.000000	0.000267	0.000000	0.000000	0.000000	114	105	0
Mateja Kunstelj	0.007364	0.001469	0.700000	0.179248	0.000687	0	0	0
Igor Lesjak	0.001473	0.000542	0.000000	0.148783	0.000000	3	0	7
