m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Åge Thoresen	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Alvhild Hedstein	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	2
Bente Lie Nilsen	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	2
Cato Andreas Holmsen	0.009155	0.001124	0.538462	0.099553	0.014106	17	11	1
Hilde Vatne	0.009155	0.001172	0.538462	0.085757	0.006710	17	11	2
Jan Magne Borgen	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Jon Reidar Gundersen	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Knut Hartvig Johannson	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Sverre Leiro	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Sverre Lorentzen	0.006338	0.000748	1.000000	0.085643	0.000000	17	11	1
Agnar Gravdal	0.004930	0.000803	0.714286	0.082195	0.000837	7	2	1
Anette Sofie Olsen	0.008451	0.001339	0.378788	0.082261	0.005045	7	2	2
Cecilie Blydt Heuch	0.003521	0.000599	1.000000	0.072404	0.000000	7	2	2
Jan Peter Valheim	0.004930	0.000803	0.714286	0.082195	0.000837	7	2	1
Øivin Fjeldstad	0.003521	0.000599	1.000000	0.072404	0.000000	7	2	1
Per Oscar Lund	0.002817	0.000491	1.000000	0.082155	0.000000	7	2	1
Stephen Knudtzon	0.003521	0.000599	1.000000	0.072404	0.000000	7	2	1
Agnes Beathe Lindeman Steen Fosse	0.003521	0.000569	1.000000	0.099786	0.000000	11	1	2
Bengt Olof Thuresson	0.003521	0.000569	1.000000	0.099786	0.000000	11	1	1
Ingvild Huseby	0.003521	0.000569	1.000000	0.099786	0.000000	11	1	2
Nils Kloumann Selte	0.006338	0.001024	0.444444	0.104657	0.012729	11	1	1
Pål Hvammen	0.006338	0.001052	0.444444	0.099864	0.003371	11	1	1
Peter Arne Ruzicka	0.009859	0.001216	0.505495	0.115744	0.017055	11	1	1
Alexander Sunde	0.002113	0.000533	1.000000	0.078807	0.000000	0	5	1
Bjørn Petter Paulsen	0.002113	0.000533	1.000000	0.078807	0.000000	0	5	1
Morten Garmann	0.004930	0.001019	0.428571	0.090658	0.002531	0	5	1
Olav Nils Sunde	0.002113	0.000533	1.000000	0.078807	0.000000	0	5	1
Alexander Vicefield	0.004225	0.000636	1.000000	0.105780	0.000000	14	0	1
Anil Gajanan Deshpande	0.004225	0.000636	1.000000	0.105780	0.000000	14	0	1
Geir Tore Hjelle	0.004225	0.000636	1.000000	0.105780	0.000000	14	0	1
Marianne Lie	0.013380	0.001868	0.245614	0.115875	0.013205	14	0	2
Philippa Dale Wright	0.004225	0.000636	1.000000	0.105780	0.000000	14	0	2
Riulf Karsten Rustad	0.005634	0.000931	0.571429	0.105824	0.001689	14	0	1
Alexandra Bech Gjørv	0.003521	0.000499	1.000000	0.102789	0.000000	19	1	2
Åse Aulie Michelet	0.016197	0.001945	0.245059	0.122233	0.073208	11	1	2
Eivind Kristofer Reiten	0.009155	0.001099	0.487179	0.103161	0.014918	19	1	1
Finn Johnsson	0.003521	0.000499	1.000000	0.102789	0.000000	19	1	1
Helge Evju	0.003521	0.000499	1.000000	0.102789	0.000000	19	1	1
Liv Gisele Marchand	0.011268	0.001524	0.291667	0.103557	0.030295	13	1	2
Alf Boy Asheim	0.002113	0.000566	1.000000	0.068622	0.000000	13	1	1
Anne-Marie Erdal	0.002113	0.000566	1.000000	0.068622	0.000000	13	1	2
Erik Gjellestad	0.002113	0.000566	1.000000	0.068622	0.000000	13	1	1
Eva Christina Eriksson	0.004225	0.000971	0.400000	0.077437	0.002531	13	1	2
Alf Christian Thorkildsen	0.002817	0.000524	1.000000	0.094365	0.000000	9	6	1
John-Steinar Kvitvang	0.002817	0.000524	1.000000	0.094365	0.000000	9	6	1
Merete Alnes Mostue	0.002817	0.000524	1.000000	0.094365	0.000000	9	6	2
Merete Haugli	0.011268	0.001582	0.308333	0.111853	0.008464	9	6	2
Sturla Sand	0.002817	0.000524	1.000000	0.094365	0.000000	9	6	1
Alf Georg Aarthun	0.002817	0.000704	1.000000	0.002817	0.000000	49	38	1
Idar Jan Ekeland	0.002817	0.000704	1.000000	0.002817	0.000000	49	38	1
Jiangang Xu	0.002817	0.000704	1.000000	0.002817	0.000000	49	38	1
Siv Grete Lea	0.002817	0.000704	1.000000	0.002817	0.000000	49	38	2
Zhong Bei	0.002817	0.000704	1.000000	0.002817	0.000000	49	38	2
Alf Gerald Engstrøm	0.002817	0.000704	1.000000	0.002817	0.000000	50	39	1
Antti Mikael Auno	0.002817	0.000704	1.000000	0.002817	0.000000	50	39	1
Benedicte Tostrup	0.002817	0.000704	1.000000	0.002817	0.000000	50	39	2
Dorthe Lie	0.002817	0.000704	1.000000	0.002817	0.000000	50	39	2
Olav Madsen	0.002817	0.000704	1.000000	0.002817	0.000000	50	39	1
Alfons Louis Jozef Brusselmans	0.002817	0.000419	1.000000	0.073221	0.000000	1	3	1
Arne Møgster	0.002817	0.000419	1.000000	0.073221	0.000000	1	3	1
Britt Kathrine Drivenes	0.009155	0.001023	0.653846	0.075575	0.000285	1	3	2
Hege Charlotte Bakken	0.002817	0.000419	1.000000	0.073221	0.000000	1	3	2
Helge Singelstad	0.014085	0.001624	0.336842	0.083331	0.012443	1	3	1
Alfred Ydstebø	0.004225	0.000639	1.000000	0.096552	0.000000	9	6	1
Ellen Susanne Math Henrichsen	0.004225	0.000639	1.000000	0.096552	0.000000	9	6	2
Harald Sigurd Pedersen	0.007042	0.001084	0.466667	0.096698	0.004837	9	6	1
Ole Peter Ludvig Lorentzen	0.004225	0.000639	1.000000	0.096552	0.000000	9	6	1
Pia Magnhild Helena Gideon	0.004225	0.000639	1.000000	0.096552	0.000000	9	6	2
Stein Aukner	0.009859	0.001416	0.318681	0.114452	0.010044	9	6	1
Allan Åkerstedt	0.004930	0.000979	0.428571	0.086877	0.000388	12	0	1
Davide De Picciotto	0.002817	0.000581	1.000000	0.082819	0.000000	12	0	2
Gudrid Eide	0.002113	0.000482	1.000000	0.086730	0.000000	12	0	2
Hanna-Kaisa Nikkanen	0.007746	0.001406	0.309091	0.095937	0.002422	12	0	2
Hroar Nilsen	0.002817	0.000581	1.000000	0.082819	0.000000	12	0	1
Kristina Jacobsen	0.002817	0.000581	1.000000	0.082819	0.000000	12	0	2
Thor Lien	0.003521	0.000706	0.400000	0.101225	0.002621	12	0	1
Tonje Vegarud	0.002113	0.000482	1.000000	0.086730	0.000000	12	0	2
Amund Skarholt	0.002817	0.000502	1.000000	0.092424	0.000000	10	4	1
Anne Breiby	0.012676	0.001926	0.222222	0.102072	0.014290	10	4	2
Frode Teigen	0.002817	0.000502	1.000000	0.092424	0.000000	10	4	1
Thore Michalsen	0.002817	0.000502	1.000000	0.092424	0.000000	10	4	1
Torhild Widvey	0.011268	0.001732	0.225000	0.103935	0.010785	10	4	2
Amy Elizabeth Humphreys	0.003521	0.000595	1.000000	0.091337	0.000000	10	4	2
Audun Stensvold	0.003521	0.000595	1.000000	0.091337	0.000000	10	4	1
Elin Karfjell	0.007746	0.001205	0.327273	0.098728	0.003034	10	4	2
James Harry Miller	0.003521	0.000595	1.000000	0.091337	0.000000	10	4	1
Manuel Nicholas Stamatakis	0.003521	0.000595	1.000000	0.091337	0.000000	10	4	1
Anders-Preben Tengs	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	1
Johannes Buhagen	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	1
Kjell Dahl	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	1
Laimonis Richards Alexanders Jaucis	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	1
Siv Lippert	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	2
Svein Dahl	0.003521	0.000704	1.000000	0.003521	0.000000	40	31	1
Anders Almestad	0.002817	0.000704	1.000000	0.002817	0.000000	51	40	1
Arne Guttorm Tande	0.002817	0.000704	1.000000	0.002817	0.000000	51	40	1
Britt Stene	0.002817	0.000704	1.000000	0.002817	0.000000	51	40	2
Lars Per Eikeland	0.002817	0.000704	1.000000	0.002817	0.000000	51	40	1
Linda Litlekalsøy Aase	0.002817	0.000704	1.000000	0.002817	0.000000	51	40	2
Anders Berggren	0.001408	0.000704	1.000000	0.001408	0.000000	92	83	1
John Olof Solberg	0.001408	0.000704	1.000000	0.001408	0.000000	92	83	1
Jorunn Ygre Storjohann	0.001408	0.000704	1.000000	0.001408	0.000000	92	83	2
Anders Eckhoff	0.002113	0.000527	1.000000	0.081618	0.000000	10	4	1
Arne Magnus Rise	0.002113	0.000527	1.000000	0.081618	0.000000	10	4	1
Gro Gauthun Kielland	0.004225	0.000850	0.400000	0.094400	0.002531	10	4	2
Liv Marit Lundby	0.002113	0.000527	1.000000	0.081618	0.000000	10	4	2
Anders Gunnestad Pedersen	0.002817	0.000554	1.000000	0.068964	0.000000	4	7	1
Inger Beate Svenneby Herland	0.004930	0.000870	0.571429	0.077542	0.003672	4	7	2
Jørgen Aaby	0.004225	0.000890	0.466667	0.068982	0.001689	4	7	1
Naja Dannow	0.005634	0.001075	0.428571	0.069001	0.003371	4	7	2
Anders Hedeboe Jakobsen	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	1
Jon Sigurd Svenningsen	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	1
Kåre Wessel	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	1
Linne Fromm-Christiansen	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	2
Marie-Christine Jansby	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	2
Mette Stendahl Plomgaard	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	2
Thomas Nørgaard	0.004225	0.000704	1.000000	0.004225	0.000000	31	20	1
Anders Hvide	0.004225	0.000633	1.000000	0.077227	0.000000	19	1	1
Anne Jorun Aas	0.004225	0.000633	1.000000	0.077227	0.000000	19	1	2
Birgitte Feginn Angelil	0.004225	0.000633	1.000000	0.077227	0.000000	19	1	2
Dia Stompanato Weil	0.004225	0.000633	1.000000	0.077227	0.000000	19	1	2
Erik Thorsen	0.007042	0.001101	0.466667	0.077274	0.003371	19	1	1
Hugo Lund Maurstad	0.009859	0.001233	0.472527	0.088467	0.008367	19	1	1
William Herman Crown	0.004225	0.000633	1.000000	0.077227	0.000000	19	1	1
Anders Kvarberg	0.001408	0.000704	1.000000	0.001408	0.000000	93	84	1
Geir Thomassen	0.001408	0.000704	1.000000	0.001408	0.000000	93	84	1
Nanna Gjerde	0.001408	0.000704	1.000000	0.001408	0.000000	93	84	2
Anders Meland	0.002113	0.000704	1.000000	0.002113	0.000000	74	65	1
Anne Sauro Hellsten	0.002113	0.000704	1.000000	0.002113	0.000000	74	65	2
Karianne Weyergang Marcussen	0.002113	0.000704	1.000000	0.002113	0.000000	74	65	2
Terje Johan Wulff	0.002113	0.000704	1.000000	0.002113	0.000000	74	65	1
Anders Paul Wiklund	0.004225	0.000631	1.000000	0.080301	0.000000	16	1	1
Annette Clancy	0.004225	0.000631	1.000000	0.080301	0.000000	16	1	2
Carl Christian Gilhuus-Moe	0.004225	0.000631	1.000000	0.080301	0.000000	16	1	1
Edward Karol Sikora	0.004225	0.000631	1.000000	0.080301	0.000000	16	1	1
Geir Stormorken	0.004225	0.000631	1.000000	0.080301	0.000000	16	1	1
Hilde Hermansen Steineger	0.009155	0.001212	0.461538	0.092508	0.009193	16	1	2
Karin Cecilie Kullmann Five	0.007746	0.001152	0.454545	0.080364	0.004208	16	1	2
Anders Skjævestad	0.001408	0.000704	1.000000	0.001408	0.000000	94	85	1
Anne Sofie Bjørkholt	0.001408	0.000704	1.000000	0.001408	0.000000	94	85	2
Jon Henrik Bruvoll	0.001408	0.000704	1.000000	0.001408	0.000000	94	85	1
Anders Talleraas	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	1
Hege Sævik Rabben	0.007042	0.001196	0.466667	0.007042	0.000024	22	13	2
Helge Aarseth	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	1
Janicke Westlie Driveklepp	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	2
Jill Annette Aasen	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	2
Per Rolf Sævik	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	1
Roger Granheim	0.004225	0.000709	1.000000	0.005030	0.000000	22	13	1
Anders Thuve	0.001408	0.000395	1.000000	0.056388	0.000000	4	7	1
Ola Krohn-Fagervoll	0.003521	0.000825	0.400000	0.062162	0.007540	4	7	1
Susanne Lene Rangnes Schneider	0.002817	0.000701	0.333333	0.056432	0.005878	4	7	2
Andrew Seth Weinberg	0.002113	0.000704	1.000000	0.002113	0.000000	75	66	1
Egil Bodd	0.002113	0.000704	1.000000	0.002113	0.000000	75	66	1
Lance Lloyd Hirt	0.002113	0.000704	1.000000	0.002113	0.000000	75	66	1
Stig Terje Sunde	0.002113	0.000704	1.000000	0.002113	0.000000	75	66	1
Anna Synnøve Bye	0.003521	0.000627	1.000000	0.072404	0.000000	7	2	2
Carsten Andreas Mellbye	0.003521	0.000627	1.000000	0.072404	0.000000	7	2	1
Håvar Poulsson	0.003521	0.000627	1.000000	0.072404	0.000000	7	2	1
Pauline Mary Walsh	0.003521	0.000627	1.000000	0.072404	0.000000	7	2	2
Thomas Fredrik Olsen	0.003521	0.000627	1.000000	0.072404	0.000000	7	2	1
Anette Solstad	0.003521	0.000580	1.000000	0.091484	0.000000	7	2	2
Harald Magne Eikesdal	0.003521	0.000580	1.000000	0.091484	0.000000	7	2	1
Ketil Lenning	0.003521	0.000580	1.000000	0.091484	0.000000	7	2	1
Per Gunnar Solstad	0.003521	0.000580	1.000000	0.091484	0.000000	7	2	1
Terje Vareberg	0.007746	0.001109	0.454545	0.103182	0.003912	7	2	1
Aniela Gabriela Gjøs	0.002817	0.000475	1.000000	0.089643	0.000000	6	0	2
Bernd Hubert Joachim Bothe	0.002817	0.000475	1.000000	0.089643	0.000000	6	0	1
Hege Marie Norheim	0.002817	0.000475	1.000000	0.089643	0.000000	6	0	2
Per Arthur Sørlie	0.002817	0.000475	1.000000	0.089643	0.000000	6	0	1
Svein Rennemo	0.010563	0.001150	0.580952	0.105281	0.003371	6	0	1
Anita Karin Patrick	0.002113	0.000704	1.000000	0.002113	0.000000	76	67	2
Mogens Jessen	0.002113	0.000704	1.000000	0.002113	0.000000	76	67	1
Morten Wilfred Rødsten	0.002113	0.000704	1.000000	0.002113	0.000000	76	67	1
Niels Jørgen Krogsgård	0.002113	0.000704	1.000000	0.002113	0.000000	76	67	1
Ann-Kristin Hageløkken	0.002817	0.000704	1.000000	0.002817	0.000000	52	41	2
Carl Erik Mathias Uhlen	0.002817	0.000704	1.000000	0.002817	0.000000	52	41	1
Greta Bentzen	0.002817	0.000704	1.000000	0.002817	0.000000	52	41	2
Hans Johan Hekland	0.002817	0.000704	1.000000	0.002817	0.000000	52	41	1
Robert Verner Ahlgren	0.002817	0.000704	1.000000	0.002817	0.000000	52	41	1
Ann-Tove Kongsnes	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	2
Benedicte Heidenreich Fossum	0.009859	0.001374	0.318681	0.106573	0.008321	0	5	2
John Ole Skeide	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	1
Karl Johan Jakola	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	1
Lill Beate Pedersen	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	2
Steinar Fossen	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	1
Viktor Helmer Sørensen	0.004225	0.000647	1.000000	0.090610	0.000000	0	5	1
Ann Elizabeth Seabrook	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	2
Artur Rastrogin	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	1
Einar Olof Lyche	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	1
Frederick Matthew Thomas Ponsonby	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	1
Katherine Hatlen Støvring	0.007042	0.001083	0.466667	0.105454	0.005044	12	0	2
Linda Dowding	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	2
Mikhail Alyautdinov	0.004225	0.000676	1.000000	0.089800	0.000000	12	0	1
Anna-Stina Nordmark Nilsson	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	2
Anne Margrethe Sødahl Wessel	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	2
Karl-Erik Staubo	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	1
Selma Kveim	0.007746	0.001017	0.490909	0.119608	0.007655	20	6	2
Stig Göran Martin	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	1
Stig Grimsgaard Andersen	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	1
Tine Gottlob Kirstan Wollebekk	0.007042	0.001022	0.533333	0.102439	0.002841	20	6	2
Veroslav Sedlak	0.004930	0.000689	1.000000	0.100412	0.000000	20	6	1
Anna Cecilie Holst	0.002113	0.000704	1.000000	0.002113	0.000000	77	68	2
Morten Ågnes	0.002113	0.000704	1.000000	0.002113	0.000000	77	68	1
Per Arne Johnsen	0.002113	0.000704	1.000000	0.002113	0.000000	77	68	1
Rolf Tore Spjelkavik	0.002113	0.000704	1.000000	0.002113	0.000000	77	68	1
Anna Yvonne Monica Malm Bernsten	0.002113	0.000704	1.000000	0.002113	0.000000	78	69	2
Arne Aarnes	0.002113	0.000704	1.000000	0.002113	0.000000	78	69	1
Kirsten English	0.002113	0.000704	1.000000	0.002113	0.000000	78	69	2
Tom Roland Nyman	0.002113	0.000704	1.000000	0.002113	0.000000	78	69	1
Erik Must	0.015493	0.001832	0.264069	0.129985	0.038090	14	0	1
Finn Marum Jebsen	0.007042	0.000944	0.466667	0.114248	0.009454	7	2	1
Irene Waage Basili	0.002817	0.000416	1.000000	0.110075	0.000000	15	10	2
John Giverholt	0.007746	0.000971	0.490909	0.115302	0.004852	6	0	1
Anne Berit Sandnes	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	2
Annette Nora Thorvik Pettersen	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	2
Erik Glende Johnsen	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Eva Helene Sydskjør	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	2
Ivar Sigmund Williksen	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Kjell Hetland	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Kolbjørn Opsahl Selmer	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Roald Dolmen	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Siv Bakke Rivenes	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	2
Willy Anker Hansen	0.006338	0.000704	1.000000	0.006338	0.000000	26	15	1
Dag-Erik Rasmussen	0.011268	0.001860	0.175000	0.113740	0.031159	12	0	1
Gunnar Domstein	0.003521	0.000615	1.000000	0.087321	0.000000	10	4	1
Gunvor Ulstein	0.002113	0.000399	1.000000	0.100039	0.000000	12	4	2
Idar Lars Ulstein	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	1
Inge Leif Sleipnes	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	1
Inger Adele Myklebust	0.003521	0.000615	1.000000	0.087321	0.000000	10	4	2
Ingerid Ulstein	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	2
Kjell Arvid Storeide	0.004930	0.000849	0.428571	0.104550	0.008848	5	4	1
Knut Magne Domstein	0.003521	0.000615	1.000000	0.087321	0.000000	10	4	1
Morten Frogner	0.003521	0.000615	1.000000	0.087321	0.000000	10	4	1
Nils Fredrik Drabløs	0.003521	0.000615	1.000000	0.087321	0.000000	10	4	1
Rolv Bakke	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	1
Sveinung Andreas Flem	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	1
Tore Ulstein	0.004225	0.000672	1.000000	0.087336	0.000000	10	4	1
Anne Breive	0.002817	0.000704	1.000000	0.002817	0.000000	53	42	2
Bjarne Egill Skeie	0.002817	0.000704	1.000000	0.002817	0.000000	53	42	1
Jan Magne Galåen	0.002817	0.000704	1.000000	0.002817	0.000000	53	42	1
Kjerstin Fyllingen	0.002817	0.000704	1.000000	0.002817	0.000000	53	42	2
Trym Skeie	0.002817	0.000704	1.000000	0.002817	0.000000	53	42	1
Anne Brit Liseth	0.002817	0.000505	1.000000	0.087665	0.000000	4	7	2
Else Bugge Fougner	0.007042	0.001052	0.466667	0.101626	0.033001	9	3	2
Gabriel Smith	0.002817	0.000505	1.000000	0.087665	0.000000	4	7	1
Johan Solbu Braaten	0.007746	0.001241	0.327273	0.088375	0.030224	4	7	1
Knut Haraldson	0.002817	0.000505	1.000000	0.087665	0.000000	4	7	1
Anne Britt Bekken	0.005634	0.000640	1.000000	0.124520	0.000000	6	0	2
Bente Sollid	0.005634	0.000640	1.000000	0.124520	0.000000	6	0	2
Erik Hagen	0.005634	0.000640	1.000000	0.124520	0.000000	6	0	1
Frode Nordseth	0.005634	0.000640	1.000000	0.124520	0.000000	6	0	1
Kaare Moursund Gisvold	0.011268	0.001249	0.416667	0.132028	0.040949	6	0	1
Liselott Kilaas	0.010563	0.001190	0.466667	0.126083	0.013937	6	0	2
Marit Arnstad	0.017606	0.001790	0.326667	0.127052	0.027326	6	0	2
Stig Eide Sivertsen	0.016901	0.001982	0.231884	0.145362	0.092100	6	0	1
Terje Roll Danielsen	0.005634	0.000640	1.000000	0.124520	0.000000	6	0	1
Anne Carine Tanum	0.006338	0.001107	0.444444	0.100490	0.004208	12	0	2
Bent Pedersen	0.003521	0.000658	1.000000	0.086161	0.000000	12	0	1
Bente Gudveig Brevik	0.003521	0.000658	1.000000	0.086161	0.000000	12	0	2
Berit Svendsen	0.005634	0.000928	0.428571	0.120282	0.007540	12	0	2
Bjørn Sund	0.003521	0.000658	1.000000	0.086161	0.000000	12	0	1
Gunilla Kristina Åstrand Berg	0.003521	0.000658	1.000000	0.086161	0.000000	12	0	2
Jarle Bergo	0.002817	0.000538	1.000000	0.100392	0.000000	12	0	1
Kai Nyland	0.002817	0.000538	1.000000	0.100392	0.000000	12	0	1
Tore Olaf Rimmereid	0.003521	0.000658	1.000000	0.086161	0.000000	12	0	1
Torill Rambjør	0.002817	0.000538	1.000000	0.100392	0.000000	12	0	2
Anne Cathrine Fodstad	0.002817	0.000608	1.000000	0.061922	0.000000	4	7	2
Finn Olav Berglie	0.002817	0.000608	1.000000	0.061922	0.000000	4	7	1
Gudleik Njå	0.002817	0.000608	1.000000	0.061922	0.000000	4	7	2
Oddvar Fodstad	0.002817	0.000608	1.000000	0.061922	0.000000	4	7	1
Anne Catrine Kleive-Mathisen	0.002817	0.000585	1.000000	0.088011	0.000000	3	2	2
Eivind Bøe	0.002817	0.000585	1.000000	0.088011	0.000000	3	2	1
Ellen Merete Kruse Brække	0.002817	0.000585	1.000000	0.088011	0.000000	3	2	2
Fritz Thorkil Rieber	0.005634	0.000990	0.428571	0.103037	0.003371	3	2	1
Roy Widar Furulund	0.002817	0.000585	1.000000	0.088011	0.000000	3	2	1
Anne Cecilie Fagerlie	0.005634	0.000868	0.428571	0.117067	0.003158	2	6	2
Arnhild Schia	0.002817	0.000499	1.000000	0.104871	0.000000	2	6	2
Audun Wickstrand Iversen	0.005634	0.000821	0.428571	0.118859	0.009474	15	10	1
Kjell Bråthen	0.006338	0.000954	0.444444	0.121451	0.003547	2	6	1
Nils Andreas Foldal	0.002817	0.000456	1.000000	0.113715	0.000000	2	6	1
Nini Eugenie Høegh Nergaard	0.014085	0.001810	0.247368	0.135771	0.068322	9	6	2
Paal Espen Johnsen	0.005634	0.000888	0.428571	0.115536	0.006331	2	9	1
Terje Rogne	0.007042	0.001233	0.288889	0.108652	0.004045	2	6	1
Tore Engebretsen	0.002817	0.000499	1.000000	0.104871	0.000000	2	6	1
Anne Cecilie Underthun Marstein	0.002113	0.000505	1.000000	0.093419	0.000000	2	9	2
Jan Pihl Grimnes	0.004930	0.000918	0.428571	0.110550	0.002531	2	9	1
Kristine Birgitte Eiken	0.002113	0.000505	1.000000	0.093419	0.000000	2	9	2
Svein Ramsay Goli	0.002113	0.000505	1.000000	0.093419	0.000000	2	9	1
Anne Dæhlie	0.002817	0.000704	1.000000	0.002817	0.000000	54	43	2
Camilla Fiskevoll	0.002817	0.000704	1.000000	0.002817	0.000000	54	43	2
Dag Øivind Dvergsten	0.002817	0.000704	1.000000	0.002817	0.000000	54	43	1
Egil Martin Ullebø	0.002817	0.000704	1.000000	0.002817	0.000000	54	43	1
Tarmo Johan Tuominen	0.002817	0.000704	1.000000	0.002817	0.000000	54	43	1
Anne Drinkwater	0.004225	0.000589	1.000000	0.102747	0.000000	5	4	2
Ida Helliesen	0.004225	0.000589	1.000000	0.102747	0.000000	5	4	2
