m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
java.awt.event.ActionEvent	0.004620	0.000357	0.714286	0.481564	0.000102	2	2	7
java.awt.event.ActionListener	0.007921	0.000515	0.196970	0.337266	0.000023	2	2	7
java.awt.event.AdjustmentEvent	0.005941	0.000461	0.555556	0.482024	0.000467	2	38	7
java.awt.event.AdjustmentListener	0.005281	0.000422	0.321429	0.335177	0.000022	2	38	7
java.awt.event.ComponentAdapter	0.003300	0.000289	0.700000	0.477015	0.000044	2	0	7
java.awt.event.ComponentEvent	0.009241	0.000620	0.549451	0.483716	0.000055	2	2	7
java.awt.event.ComponentListener	0.015842	0.000834	0.184783	0.342450	0.000039	2	2	7
java.awt.event.ContainerAdapter	0.003300	0.000296	0.700000	0.477015	0.000086	2	0	7
java.awt.event.ContainerEvent	0.006601	0.000471	0.666667	0.482945	0.000090	2	2	7
java.awt.event.ContainerListener	0.008581	0.000525	0.269231	0.339230	0.000018	2	2	7
java.awt.event.FocusAdapter	0.003300	0.000293	0.700000	0.477015	0.000044	2	0	7
java.awt.event.FocusEvent	0.005941	0.000436	0.722222	0.482638	0.000046	2	2	7
java.awt.event.FocusListener	0.015842	0.000839	0.184783	0.342450	0.000039	2	2	7
java.awt.event.HierarchyBoundsAdapter	0.003300	0.000289	0.700000	0.477165	0.000044	2	0	7
java.awt.event.HierarchyBoundsListener	0.015842	0.000834	0.188406	0.342450	0.000037	2	2	7
java.awt.event.HierarchyEvent	0.007261	0.000487	0.618182	0.483408	0.000095	2	2	7
java.awt.event.HierarchyListener	0.015182	0.000785	0.201581	0.342373	0.000026	2	2	7
java.awt.event.InputEvent	0.006601	0.000486	0.733333	0.481717	0.000003	2	2	7
java.awt.event.InputMethodEvent	0.006601	0.000464	0.533333	0.483099	0.000057	2	2	7
java.awt.event.InputMethodListener	0.015182	0.000787	0.197628	0.342450	0.000028	2	2	7
java.awt.event.InvocationEvent	0.005281	0.000452	0.464286	0.479734	0.000571	1	41	7
java.awt.event.ItemEvent	0.005281	0.000403	0.571429	0.481870	0.000378	2	2	7
java.awt.event.ItemListener	0.005941	0.000415	0.277778	0.335400	0.000020	2	2	7
java.awt.event.KeyAdapter	0.003300	0.000294	0.700000	0.477316	0.000044	2	0	7
java.awt.event.KeyEvent	0.009241	0.000693	0.439560	0.483871	0.000916	2	2	7
java.awt.event.KeyListener	0.015842	0.000840	0.184783	0.342683	0.000041	2	2	7
java.awt.event.MouseAdapter	0.005281	0.000387	0.464286	0.477767	0.000124	2	2	7
java.awt.event.MouseEvent	0.009241	0.000619	0.560440	0.484026	0.000091	2	2	7
java.awt.event.MouseListener	0.017162	0.000905	0.163077	0.342838	0.000046	2	2	7
java.awt.event.MouseMotionAdapter	0.003300	0.000289	0.700000	0.477165	0.000039	2	0	7
java.awt.event.MouseMotionListener	0.017822	0.000954	0.153846	0.342915	0.000058	2	2	7
java.awt.event.MouseWheelEvent	0.006601	0.000458	0.711111	0.483254	0.000047	2	2	7
java.awt.event.MouseWheelListener	0.015842	0.000828	0.184783	0.342450	0.000035	2	2	7
java.awt.event.NativeLibLoader	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	7
java.awt.event.PaintEvent	0.016502	0.000866	0.316667	0.484180	0.000474	2	2	7
java.awt.event.TextEvent	0.004620	0.000361	0.714286	0.481564	0.000181	2	2	7
java.awt.event.TextListener	0.004620	0.000333	0.333333	0.334733	0.000004	2	2	7
java.awt.event.WindowAdapter	0.004620	0.000375	0.428571	0.477617	0.000398	2	2	7
java.awt.event.WindowEvent	0.007921	0.000547	0.575758	0.483254	0.000405	2	2	7
java.awt.event.WindowFocusListener	0.005941	0.000404	0.361111	0.336741	0.000008	2	2	7
java.awt.event.WindowListener	0.005941	0.000404	0.361111	0.336741	0.000008	2	2	7
java.awt.event.WindowStateListener	0.005941	0.000404	0.361111	0.336741	0.000008	2	2	7
java.awt.font.CharArrayIterator	0.002640	0.000267	0.666667	0.476715	0.000004	0	32	8
java.awt.font.FontRenderContext	0.007921	0.000559	0.696970	0.480800	0.000005	5	4	8
java.awt.font.GlyphJustificationInfo	0.004620	0.000386	0.809524	0.477316	0.000000	5	4	8
java.awt.font.GlyphMetrics	0.003300	0.000295	1.000000	0.477617	0.000000	5	4	8
java.awt.font.GlyphVector	0.009241	0.000637	0.571429	0.481717	0.000077	5	4	8
java.awt.font.GraphicAttribute	0.006601	0.000494	0.800000	0.478824	0.000050	5	4	8
java.awt.font.ImageGraphicAttribute	0.006601	0.000482	0.711111	0.480647	0.000053	5	4	8
java.awt.font.LayoutPath	0.003300	0.000295	1.000000	0.477316	0.000000	5	4	8
java.awt.font.LineBreakMeasurer	0.004620	0.000384	0.714286	0.477466	0.000003	7	4	8
java.awt.font.LineMetrics	0.003300	0.000282	1.000000	0.478673	0.000000	2	0	8
java.awt.font.MultipleMaster	0.000660	0.000131	0.000000	0.332018	0.000000	2	2	8
java.awt.font.NumericShaper	0.002640	0.000260	0.833333	0.476715	0.000000	0	0	8
java.awt.font.OpenType	0.000660	0.000140	0.000000	0.468605	0.000000	0	0	8
java.awt.font.ShapeGraphicAttribute	0.005941	0.000452	0.777778	0.478673	0.000050	5	4	8
java.awt.font.StyledParagraph	0.003300	0.000300	0.800000	0.477015	0.000002	7	0	8
java.awt.font.TextAttribute	0.003960	0.000375	0.800000	0.476865	0.000000	0	0	8
java.awt.font.TextHitInfo	0.004620	0.000372	0.523810	0.477617	0.000049	2	2	8
java.awt.font.TextJustifier	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	8
java.awt.font.TextLayout	0.011881	0.000805	0.450980	0.482484	0.000098	5	4	8
java.awt.font.TextLine	0.008581	0.000594	0.589744	0.481717	0.000063	5	4	8
java.awt.font.TextMeasurer	0.004620	0.000377	0.619048	0.477466	0.000018	5	4	8
java.awt.font.TransformAttribute	0.003300	0.000295	0.900000	0.477316	0.000000	0	0	8
java.awt.geom.AffineTransform	0.029043	0.001808	0.271670	0.486825	0.000335	5	4	9
java.awt.geom.Arc2D	0.006601	0.000479	0.822222	0.479886	0.000053	5	4	9
java.awt.geom.ArcIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.Area	0.006601	0.000476	0.666667	0.480038	0.000119	5	4	9
java.awt.geom.AreaIterator	0.003960	0.000339	0.600000	0.477617	0.000055	5	4	9
java.awt.geom.CubicCurve2D	0.006601	0.000476	0.666667	0.480038	0.000119	5	4	9
java.awt.geom.CubicIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.Dimension2D	0.007261	0.000516	0.690909	0.480190	0.000020	5	4	9
java.awt.geom.Ellipse2D	0.006601	0.000479	0.822222	0.479886	0.000053	5	4	9
java.awt.geom.EllipseIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.FlatteningPathIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.GeneralPath	0.005941	0.000437	0.777778	0.479886	0.000102	5	4	9
java.awt.geom.IllegalPathStateException	0.004620	0.000375	0.952381	0.477316	0.000000	1	1	9
java.awt.geom.Line2D	0.006601	0.000476	0.666667	0.480038	0.000119	5	4	9
java.awt.geom.LineIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.NoninvertibleTransformException	0.004620	0.000374	0.952381	0.477617	0.000000	1	1	9
java.awt.geom.Path2D	0.006601	0.000476	0.666667	0.480038	0.000119	5	4	9
java.awt.geom.PathIterator	0.015182	0.001141	0.142292	0.337266	0.000051	5	4	9
java.awt.geom.Point2D	0.023102	0.001467	0.314286	0.484490	0.000364	5	4	9
java.awt.geom.QuadCurve2D	0.006601	0.000476	0.666667	0.480038	0.000119	5	4	9
java.awt.geom.QuadIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.RectIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.Rectangle2D	0.030363	0.001890	0.247343	0.486825	0.000626	5	4	9
java.awt.geom.RectangularShape	0.009241	0.000638	0.692308	0.480647	0.000121	5	4	9
java.awt.geom.RoundRectIterator	0.002640	0.000264	0.500000	0.476865	0.000053	0	0	9
java.awt.geom.RoundRectangle2D	0.006601	0.000479	0.822222	0.479886	0.000053	5	4	9
java.awt.im.InputContext	0.015842	0.000831	0.536232	0.485888	0.000005	2	2	10
java.awt.im.InputMethodHighlight	0.003300	0.000289	0.800000	0.478976	0.000001	0	0	10
java.awt.im.InputMethodRequests	0.017162	0.000887	0.230769	0.344867	0.000037	2	2	10
java.awt.im.InputSubset	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	10
java.awt.im.spi.InputMethod	0.003960	0.000334	0.333333	0.469622	0.000012	2	2	11
java.awt.im.spi.InputMethodContext	0.004620	0.000361	0.428571	0.474922	0.000027	2	2	11
java.awt.im.spi.InputMethodDescriptor	0.002640	0.000252	0.500000	0.471229	0.000007	2	2	11
java.awt.image.AffineTransformOp	0.008581	0.000582	0.589744	0.481411	0.000209	5	4	12
java.awt.image.AreaAveragingScaleFilter	0.005941	0.000441	0.750000	0.479734	0.000124	5	25	12
java.awt.image.BandCombineOp	0.005941	0.000444	0.694444	0.478824	0.000109	5	4	12
java.awt.image.BandedSampleModel	0.003960	0.000360	1.000000	0.476865	0.000000	0	26	12
java.awt.image.BufferStrategy	0.006601	0.000422	0.888889	0.482177	0.000000	2	2	12
java.awt.image.BufferedImage	0.021122	0.001308	0.298387	0.485421	0.001462	5	4	12
java.awt.image.BufferedImageFilter	0.006601	0.000476	0.488889	0.479886	0.000240	5	25	12
java.awt.image.BufferedImageOp	0.007921	0.000541	0.454545	0.338699	0.000006	5	4	12
java.awt.image.ByteLookupTable	0.002640	0.000275	1.000000	0.476565	0.000000	0	0	12
java.awt.image.ColorConvertOp	0.008581	0.000588	0.576923	0.481411	0.000210	5	4	12
java.awt.image.ColorModel	0.057426	0.003168	0.141673	0.497700	0.002792	5	4	12
java.awt.image.ComponentColorModel	0.005281	0.000409	0.892857	0.479582	0.000000	5	4	12
java.awt.image.ComponentSampleModel	0.004620	0.000412	0.952381	0.477015	0.000000	0	26	12
java.awt.image.ConvolveOp	0.008581	0.000598	0.564103	0.481411	0.000211	5	4	12
java.awt.image.CropImageFilter	0.005281	0.000400	0.678571	0.479582	0.000124	5	25	12
java.awt.image.DataBuffer	0.011221	0.000938	0.404412	0.478976	0.000019	0	26	12
java.awt.image.DataBufferByte	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DataBufferDouble	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DataBufferFloat	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DataBufferInt	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DataBufferShort	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DataBufferUShort	0.002640	0.000269	1.000000	0.476565	0.000000	0	26	12
java.awt.image.DirectColorModel	0.005941	0.000452	0.916667	0.479734	0.000000	5	4	12
java.awt.image.FilteredImageSource	0.003960	0.000330	0.600000	0.478522	0.000124	5	25	12
java.awt.image.ImageConsumer	0.008581	0.000622	0.423077	0.335251	0.000007	5	25	12
